T0;TC;TSH;SPEED;speed;dischargepressure;suctionpressure;Pressureratio;pressureatcondenseroutlet;subcool;superheat;compressorinlettemperature;dischargegastemperature;Temperaturecondensoroutlet;ambienttemperature;refrigerantmassflow;current;voltage;powerconsumption;coolingcapacity;heatingcapacity;enthalpycompressorinlet;entalphycompressoroutlet;entropycompressoroutlet;enthalpycondensoroutlet;COP(cool);COP(warm);entalphyevaporatoroutlet;evaporatoroutlet;Compisentropicdischargeenthalpy;Compressorisentropicefficiency;CompressorVolumetricefficiency
-5;25;10;700;700;9.5;4.1;2.4;9.48;9.4;9.8;4.8;51.3;24.8;20;7.9;0.7;300.2;210.1;699.4;846.6;585.8;653.4;2.5;265.1;3.3;4.0;569.2;-5.1;627.9;0.62;0.67
0;25;10;700;700;9.5;4.7;2.0;9.45;6.4;9.8;9.8;49.6;24.7;20;9.7;0.7;300.1;213.1;876.6;1031.6;592.1;650.0;2.5;265.1;4.1;4.8;574.9;0.0;626.0;0.59;0.71
0;45;10;700;700;15.3;4.8;3.2;15.33;18.7;9.8;9.9;83.6;45.0;20;8.3;1.4;300.2;417.2;619.0;877.3;591.9;704.6;2.6;321.8;1.5;2.1;575.0;0.1;649.9;0.51;0.60
5;25;10;700;700;9.5;5.5;1.7;9.56;5.1;10.1;15.1;48.4;25.0;20;11.7;0.6;300.2;189.1;1083.3;1243.0;598.4;647.6;2.5;265.1;5.7;6.6;580.3;5.0;625.3;0.55;0.74
5;45;10;700;700;15.3;5.5;2.8;15.31;15.9;9.8;14.6;79.1;44.9;20;9.7;1.4;300.2;408.3;743.8;1005.9;597.5;694.7;2.6;321.8;1.8;2.5;580.1;4.8;648.4;0.52;0.62
10;25;10;700;700;9.5;6.4;1.5;9.46;5.4;10.1;20.1;43.9;24.7;20;14.4;0.6;300.2;168.1;1359.7;1498.2;604.1;638.6;2.5;265.1;8.1;8.9;585.7;10.0;624.0;0.58;0.80
10;45;10;700;700;15.3;6.4;2.4;15.30;9.6;10.1;20.1;77.2;44.9;20;12.5;1.3;300.2;396.3;977.1;1276.4;604.1;690.6;2.6;321.8;2.5;3.2;585.7;10.0;647.5;0.50;0.69
15;25;10;700;700;9.5;7.3;1.3;9.46;4.1;10.2;25.2;42.6;24.7;20;17.3;0.5;300.3;144.2;1658.3;1782.6;610.2;636.1;2.5;265.11;11.5;12.4;590.8;14.9;622.9;0.49;0.83
-10;45;10;1800;1800;15.4;3.5;4.4;15.29;13.1;10.0;0.0;78.8;44.8;20;21.5;2.6;300.1;765.3;1544.1;2223.9;580.1;693.8;2.6;321.8;2.0;2.9;563.7;-10.0;654.3;0.65;0.83
-10;65;10;1800;1800;23.4;3.5;6.8;23.42;22.6;10.2;0.2;117.0;65.0;20;18.7;3.9;300.2;1167.9;1016.7;1983.0;580.4;766.6;2.7;384.6;0.9;1.7;563.7;-10.0;675.5;0.51;0.72
